Занятость до перерождения,Внешность / раса,Навык / способность,Баф от бога(ов),Перерождение,Уникальный предмет,Главная слабость
Сварщик,Чернильный змей,Сопротивление электричеству,Неиссякаемый талант к утилизации отходов,Раздавлен гигантской картошкой фри,"Щит, который сражается сам за себя","Забывает, что умеет плавать"
Токарь,Цветущий энт,Выращивание щупалец,Способность видеть красоту в самом простом,Утонул в волне газировки,"Мантия, наполняющая мир запахом лаванды","Боится дождя"
Швея,Каменный варан,Управление льдом,Ощущение времени в каждом мгновении,Убит огненным духом во время вечеринки,"Чаша, превращающая воду в звезды","Любит кошек настолько, что готов их кормить врагами"
Повар,Призрачный берсерк,Мгновенное знание чужого языка,Искусство наполнять дом теплом,Ошибся заклинанием и вызвал гигантскую гидру,"Дверная ручка, открывающая проходы в пустоту","Ненавидит пыль, но при этом живёт в хаосе"
Кондитер,Хитиновый воитель,Сверхточная меткость,Магнетизм для случайных улыбок прохожих,"Погиб, пытаясь покорить гигантский замок из песка","Скрипка, создающая иллюзию оркестра","Тратит деньги на бесполезные безделушки"
Официант,Огнедышащий конь,Замедление времени для врагов,Гармония с громом и молнией,Попал под магическую пургу,"Рог, вызывающий закат","Не может сказать "нет" красивой улыбке"
Бармен,Лазурный гаргуль,Вызов духов,Невидимая поддержка младенцев,"Захлебнулся, съедая суперострое блюдо","Кулон, ловящий чьи-то несбывшиеся мечты","Паникует при виде открытого пространства"
Продавец,Болотный василиск,Превращение предметов в золото,Талант к созданию идеальных углов,Упал в лаву в виртуальной реальности,"Свиток, исполняющий любые стихи","Способен потеряться даже в трёх соснах"
Кассир,Тёмный друид,Создание огненных барьеров,Способность усиливать аромат трав,Превратился в пыль при попытке открыть древний артефакт,"Стул, который уносит в воспоминания","Чихает, если рядом кто-то говорит ложь"
Флорист,Светящийся призрак,Управление стеклом,Искусство выравнивать любые поверхности,Случайно вызвал дождь из мечей,"Серебряная расческа, оживляющая волосы","Бессилен против милых шапочек"
Парикмахер,Огненная гарпия,Полная невидимость,Вечная свежесть дыхания,Затоптан толпой на аниме-фестивале,"Кубок, который нельзя наполнить","Не может не уронить всё, что берёт в руки"
Косметолог,Кристальный самурай,Усиление голоса до уровня звуковой атаки,"Умение создавать трещины, которые лечат землю",Ошибся в приготовлении зелья и взорвался,"Канат, связанный с небом","Боится тени, особенно своей"
Визажист,Гуманоидный крот,Замораживание предметов прикосновением,Постоянно ровные ногти,Улетел в космос на воздушных шарах и исчез,"Зеркало, показывающее других миров","Постоянно наступает на грабли"
Логист,Древний скорпион,Управление костями своего тела,Очарование всех кроликов,"Погиб, спасая гигантского муравья","Сандалии, обгоняющие ветер","Не выносит, когда его игнорируют"
Тренер,Дымчатый кентавр,Исцеление смертельных ран,Непреодолимая симпатия котов,Раздавлен каменной статуей,"Волшебный песок, делающий невидимым","Ломает всё, к чему прикасается"
Спортсмен,Колючий гном,Испускание пламени изо рта,Талант чувствовать древние тайны,Задавлен гигантской лапшой,"Часы, всегда показывающие 'идеальное время'","Всегда оказывается в неправильном месте в неправильное время"
Дипломат,Пустынный шакал,Генерация вспышек света для ослепления,Дар делать хлеб всегда хрустящим,"Проклятие сделало его бумажным, и он сгорел","Кинжал, который смеется при ударе","Ненавидит холодные напитки"
Переводчик,Парящий вампир,Создание тумана,Привлекательность для молний (без вреда),Попал под обрушение башни из кубиков,"Камень, превращающий любую почву в сад","Всегда забывает важные даты"
Гид,Молниеносный орк,Превращение своих конечностей в оружие,Умение находить невидимые пути в лесу,"Погиб, охотясь на призрака","Жезл, зовущий неизвестных существ","Слишком сильно доверяет незнакомцам"
Туроператор,Эхо-призрак,Перемещение предметов взглядом,Способность удлинять время чаепития,Ошибся в слове и вызвал демона,"Зонтик, ловящий солнечные лучи","Склонен терять сознание от сильных эмоций"
Программист игр,Броненосный великан,Полная иммунность к огню,Искусство восстанавливать аромат старых вещей,Умер от избытка магической силы,"Тарелка, вечно полная пирожных","Боится потерять шляпу больше, чем голову"
Аниматор,Песчаный саламандр,Управление металлическими объектами,Привлечение солнца в пасмурные дни,"Погиб, спасая падающую луну","Меч, который обучает своему владельцу бою","Всегда забывает свой меч"
Видеомонтажер,Ледяной самурай,Скрытие своих следов,Дар делать воду на вкус как мед,Упал в котел с кипящим шоколадом,"Пояс, поднимающий владельца в воздух","Пугается своего отражения"
Продюсер,Радужная химера,Создание энергетического щита,Талант находить счастливые клады,Проиграл дуэль гигантскому кролику,"Браслет, дарующий руки из теней","Постоянно теряет равновесие на каблуках"
Сценарист,Тролль-ковач,Разрушение стен касанием,Умение определять местность по запаху земли,"Убит метеором, сделанным из сыра","Ремень, меняющий силу тяжести","Не может отказать, если его о чём-то просят дети"
Администратор,Полуночный гаргуль,Генерация водяных потоков,Способность превращать каждую трапезу в праздник,Захлебнулся в собственной магической энергии,"Книга, оживляющая любые рассказы","Забывает, как драться, когда слышит смех"
Секретарь,Гибридный феникс,Притягивание врагов к себе,Создание уюта взглядом,"Убит волной, вызванной русалкой","Перо, умеющее рисовать порталы","Любит тортики больше, чем жизнь"
Охранник,Грибной воитель,Взрывная скорость на несколько секунд,Невидимая гармония с дождем,Ошибся в танце и вызвал магический вихрь,"Куб, который умеет разговаривать","Постоянно перебивает всех, даже врагов"
Курьер,Ящер-маг,Временная неуязвимость,Талант выбирать лучшие семена,Утонул в реке меда,"Маска, открывающая скрытые двери","Считает, что злодеи тоже заслуживают обед"
Почтальон,Алебастровый голем,Выращивание дополнительной пары рук,Дар облегчать боль одним словом,Превратился в пепел от взгляда древнего существа,"Сосуд, который пьёт сам","Паникует, если не находит носок"
Социальный работник,Чешуйчатый алхимик,Мгновенное разжигание костра,Умение слышать звуки тишины,Погиб в игре с магическими костями,"Зеркало, которое улыбается за тебя","Умеет сражаться только, если сытый"
Психолог,Солнечный паладин,Превращение воды в лед,Искусство избегать углов,Сгорел в пламени гигантской свечи,"Кольцо, отпугивающее злых духов","Всегда путает имя врага"
Психотерапевт,Древесная русалка,Управление тенями,Способность делать краски ярче,Упал в пропасть времени,"Очки, показывающие скрытые ловушки","Боится маленьких собак, но обожает больших"
Няня,Болотный зомби,Управление гравитацией для конкретных объектов,Привлекательность для бабочек,Уничтожен заклинанием случайного врага,"Ключ, который ищет замок сам","Не может уснуть без мягкой игрушки"
Фермер,Крылатая саламандра,Отражение атак противника,Талант находить самые лучшие материалы для строительства,Ошибся в игре с волшебной картой,"Гармоника, заставляющая плясать","Разговаривает с каждым животным, которого встречает"
Агрохимик,Каменный духовой маг,Разделение себя на несколько тел,Умение упрощать самые сложные узоры,Застрял в ловушке с бесконечными зеркалами,"Шпилька, превращающая волосы в лоза","Способен запутаться даже в простых вопросах"
Зоотехник,Призрачный чародей,Создание невидимых ловушек,Дар согревать чужие руки,Попал под гигантский магический град,"Карта, которая ведёт только ночью","Плачет, если видит красивый рассвет"
Лесник,Морской оборотень,Вскрытие замков без инструментов,Искусство оживлять старые предметы,Ошибся с алхимией и стал взрывоопасным,"Шляпа, создающая миниатюрных помощников","Не умеет сохранять тайны"
Ветеринар,Теневой архидемон,Превращение металла в пыль,Чувствительность к ритмам земли,"Погиб, спасая любимое животное","Листок, исполняющий мечту","Всегда влюбляется в своего противника"
Технолог пищевой промышленности,Чёрный голем,Превращение своего тела в камень,Притяжение добрых снов,Убит гигантским леденцом,"Птица в клетке, поющая судьбу","Боится всех видов оружия, даже игрушечных"
Эколог,Эльфийский соволис,Создание звуковой волны для оглушения,Невозможность оставлять царапины на стекле,Ошибся в слове и вызвал проклятье,"Канделябр, освещающий скрытые истины","Ненавидит подземелья, потому что там темно"
Урбанист,Лунный жнец,Мгновенное определение слабых мест врага,Умение создавать равновесие вокруг,Попал в ловушку на ледяной горе,"Шкатулка, которая смеётся","Всегда теряет ботинки во время боя"
Геолог,Огненный грифон,Управление водными потоками,Дар поднимать настроение одним присутствием,Раздавлен гигантским яйцом,"Камень, который всегда возвращается к хозяину","Не может перестать смеяться в неподходящий момент"
Астроном,Кровавый минотавр,Генерация кислотных дождей,Талант распутывать клубки в одно касание,Упал в яму с магическим песком,"Коготь, управляющий ветрами","Ужасно готовит, но упорно пытается"
Картограф,Песчаный колосс,Создание защитной сферы,Привлечение утренней росы,"Погиб, спасая ожившую картину","Жилет, отпугивающий хищников","Склонен устраивать ненужные драмы"
Преподаватель вуза,Медный гигант,Прокалывание предметов издалека,Умение заставлять одежду пахнуть свежестью,Ошибся в заклинании и вызвал армию врагов,"Сумка, которой всё равно, что туда кладут","Боится лестниц"
Редактор,Полярный гарпий,Превращение света в твердый объект,Создание магических узоров из воды,Захлебнулся в бурлящем магическом фонтане,"Кость, превращающаяся в меч","Считает, что цветы его понимают"
Корректор,Снежный ворген,Уклонение от атак с молниеносной скоростью,Дар видеть ростки сквозь землю,"Убит гигантской стрелой, выпущенной с луны","Гребень, дарующий морские волны","Уходит в себя при виде красивого заката"
Верстальщик,Парящий энт,Перемещение под землей,Искусство находить простые пути решения,Попал под дождь из лавовых капель,"Подушка, дающая идеальные сны","Способен забыть о миссии, если увидит радугу"
ИТ-аналитик,Водяной василиск,Притягивание предметов к себе,Талант поднимать духи даже в пустыне,Раздавлен гигантской тыквой,"Кубик, который не умеет лгать","Ненавидит обнимашки, но сам их инициирует"
Системный администратор,Теневой ликантроп,Поджигание объектов на расстоянии,Умение чувствовать направление ветра,Упал в пропасть из книг,"Веер, создающий ураганы","Боится потерять любимую кружку"
Мастер по ремонту бытовой техники,Огнедышащий варан,Превращение растений в оружие,"Дар создавать легкий шум, подобный шелесту листвы","Погиб, охотясь на оживший музыкальный инструмент","Монета, притягивающая бедствия","Постоянно теряет ключи, даже от своего сердца"
Специалист технической поддержки,Ядовитый гоблин,Контроль над мускулатурой врага,Привлекательность для перелетных птиц,Раздавлен гигантской чашкой кофе,"Рубашка, меняющая цвет под настроение","Умеет читать мысли, но не свои"
Садовник,Радужный пикси,Создание силового барьера,Умение выбирать самый мягкий мох,Утонул в реке магического масла,"Медаль, дарующая мгновение из прошлого","Способен заплакать от любой мелочи"
Арбитражный управляющий,Древний феникс,Выделение ослепляющего дыма,Дар очищать воздух в комнате,Проиграл дуэль с теневым двойником,"Кольцо, которое боится тьмы","Обожает готовить, но всё сгорает"
Энтомолог,Лавовый саламандр,Создание молний из кончиков пальцев,Способность превращать горькое в сладкое,Превратился в пепел от проклятой улыбки,"Стеклянный шар, ловящий воспоминания","Не может уйти, пока не убедится, что его враги счастливы"

